#  telescope	date	JD	airmass	filter_obs	filter	constant
     FTS	20120315	56002.901	1.164	   Bessell-R	  R  18.1550  VR -0.0146 | 0.011  0.0
     FTS	20121008	56209.244	1.444	Pan-Starrs-Z	  z  21.5321  rz -0.0639 | 0.966  0.0
     FTS	20121017	56218.229	1.387	      SDSS-G	  g  22.3914  gr 0.14170 | 0.998  0.0
     FTS	20121017	56218.230	1.380	      SDSS-R	  r  22.8612  gr -0.0067 | 0.938  0.0
     FTS	20121017	56218.230	1.380	      SDSS-R	  r  22.8599  ri -0.0140 | 0.957  0.0
     FTS	20121017	56218.231	1.373	      SDSS-I	  i  22.6015  ri -0.0267 | 0.889  0.0
     FTS	20121017	56218.231	1.373	      SDSS-I	  i  22.6001  iz -0.0445 | 0.806  0.0
     FTS	20121017	56218.232	1.367	Pan-Starrs-Z	  z  21.5958  iz -0.1803 | 0.985  0.0
     FTS	20121017	56218.232	1.367	Pan-Starrs-Z	  z  21.5990  rz -0.0661 | 0.997  0.0
     FTS	20121015	56216.200	1.654	      SDSS-G	  g  22.2733  gr 0.15098 | 0.999  0.0
     FTS	20121015	56216.201	1.642	      SDSS-R	  r  22.7773  gr 0.00520 | 0.620  0.0
     FTS	20121015	56216.201	1.642	      SDSS-R	  r  22.7783  ri 0.01109 | 0.662  0.0
     FTS	20121015	56216.202	1.630	      SDSS-I	  i  22.5125  ri -0.0094 | 0.995  0.0
     FTS	20121015	56216.202	1.630	      SDSS-I	  i  22.5120  iz -0.0166 | 0.997  0.0
     FTS	20121015	56216.203	1.618	Pan-Starrs-Z	  z  21.5065  iz -0.1655 | 0.999  0.0
     FTS	20121015	56216.203	1.618	Pan-Starrs-Z	  z  21.5094  rz -0.0601 | 0.994  0.0
     FTS	20121013	56214.193	1.799	      SDSS-G	  g  22.3172  gr 0.12626 | 0.999  0.0
     FTS	20121013	56214.194	1.783	      SDSS-R	  r  22.8229  gr -0.0019 | 0.860  0.0
     FTS	20121013	56214.194	1.783	      SDSS-R	  r  22.8225  ri -0.0041 | 0.889  0.0
     FTS	20121013	56214.196	1.768	      SDSS-I	  i  22.5848  ri -0.0354 | 0.984  0.0
     FTS	20121013	56214.196	1.768	      SDSS-I	  i  22.5830  iz -0.0606 | 0.942  0.0
     FTS	20121013	56214.197	1.753	Pan-Starrs-Z	  z  21.5878  iz -0.1766 | 0.991  0.0
     FTS	20121013	56214.197	1.753	Pan-Starrs-Z	  z  21.5910  rz -0.0646 | 0.999  0.0
     FTS	20121012	56213.219	1.552	      SDSS-G	  g  22.3039  gr 0.11415 | 0.994  0.0
     FTS	20121012	56213.220	1.542	      SDSS-R	  r  22.8026  gr -0.0061 | 0.859  0.0
     FTS	20121012	56213.220	1.542	      SDSS-R	  r  22.8014  ri -0.0124 | 0.828  0.0
     FTS	20121012	56213.221	1.532	      SDSS-I	  i  22.5651  ri -0.0337 | 0.970  0.0
     FTS	20121012	56213.221	1.532	      SDSS-I	  i  22.5634  iz -0.0574 | 0.918  0.0
     FTS	20121012	56213.222	1.522	Pan-Starrs-Z	  z  21.5543  iz -0.1734 | 0.988  0.0
     FTS	20121012	56213.222	1.522	Pan-Starrs-Z	  z  21.5574  rz -0.0635 | 0.998  0.0
     FTS	20121021	56222.199	1.514	      SDSS-G	  g  22.3710  gr 0.15783 | 0.989  0.0
     FTS	20121021	56222.200	1.504	      SDSS-R	  r  22.8483  gr 0.00824 | 0.994  0.0
     FTS	20121021	56222.200	1.504	      SDSS-R	  r  22.8499  ri 0.01692 | 0.985  0.0
     FTS	20121021	56222.201	1.495	      SDSS-I	  i  22.5959  ri -0.0077 | 0.343  0.0
     FTS	20121021	56222.201	1.495	      SDSS-I	  i  22.5955  iz -0.0113 | 0.238  0.0
     FTS	20121021	56222.202	1.487	Pan-Starrs-Z	  z  21.5983  iz -0.1339 | 0.975  0.0
     FTS	20121021	56222.202	1.487	Pan-Starrs-Z	  z  21.6007  rz -0.0492 | 0.992  0.0
     FTS	20121004	56205.230	1.655	      SDSS-G	  g  22.3926  gr 0.15018 | 0.993  0.0
     FTS	20121004	56205.231	1.643	      SDSS-R	  r  22.8543  gr 0.01112 | 0.751  0.0
     FTS	20121004	56205.231	1.643	      SDSS-R	  r  22.8565  ri 0.02235 | 0.713  0.0
     FTS	20121004	56205.232	1.630	      SDSS-I	  i  22.5709  ri -0.0132 | 0.989  0.0
     FTS	20121004	56205.232	1.630	      SDSS-I	  i  22.5702  iz -0.0232 | 0.999  0.0
     FTS	20121004	56205.233	1.619	Pan-Starrs-Z	  z  21.5691  iz -0.1436 | 0.983  0.0
     FTS	20121004	56205.233	1.619	Pan-Starrs-Z	  z  21.5717  rz -0.0527 | 0.996  0.0
     FTS	20121016	56217.226	1.418	      SDSS-G	  g  22.2304  gr 0.14441 | 0.999  0.0
     FTS	20121016	56217.227	1.410	      SDSS-R	  r  22.7501  gr 0.00196 | 0.860  0.0
     FTS	20121016	56217.227	1.410	      SDSS-R	  r  22.7505  ri 0.00411 | 0.889  0.0
     FTS	20121016	56217.229	1.403	      SDSS-I	  i  22.5055  ri -0.0106 | 0.312  0.0
     FTS	20121016	56217.229	1.403	      SDSS-I	  i  22.5049  iz -0.0152 | 0.211  0.0
     FTS	20121016	56217.230	1.396	Pan-Starrs-Z	  z  21.5104  iz -0.1565 | 0.991  0.0
     FTS	20121016	56217.230	1.396	Pan-Starrs-Z	  z  21.5131  rz -0.0573 | 0.999  0.0
     FTS	20121009	56210.262	1.328	      SDSS-G	  g  22.3438  gr 0.12920 | 0.999  0.0
     FTS	20121009	56210.263	1.323	      SDSS-R	  r  22.8131  gr 0.00172 | 0.085  0.0
     FTS	20121009	56210.263	1.323	      SDSS-R	  r  22.8134  ri 0.00405 | 0.111  0.0
     FTS	20121009	56210.264	1.317	      SDSS-I	  i  22.5437  ri -0.0120 | 0.703  0.0
     FTS	20121009	56210.264	1.317	      SDSS-I	  i  22.5432  iz -0.0224 | 0.803  0.0
     FTS	20121009	56210.266	1.312	Pan-Starrs-Z	  z  21.5309  iz -0.1523 | 0.999  0.0
     FTS	20121009	56210.266	1.312	Pan-Starrs-Z	  z  21.5336  rz -0.0554 | 0.995  0.0
     FTS	20121003	56204.233	1.649	      SDSS-G	  g  22.3727  gr 0.13245 | 0.997  0.0
     FTS	20121003	56204.234	1.636	      SDSS-R	  r  22.8425  gr 0.00815 | 0.706  0.0
     FTS	20121003	56204.234	1.636	      SDSS-R	  r  22.8440  ri 0.01726 | 0.745  0.0
     FTS	20121003	56204.236	1.625	      SDSS-I	  i  22.5784  ri -0.0132 | 0.989  0.0
     FTS	20121003	56204.236	1.625	      SDSS-I	  i  22.5778  iz -0.0232 | 0.999  0.0
     FTS	20121003	56204.237	1.613	Pan-Starrs-Z	  z  21.5704  iz -0.1565 | 0.991  0.0
     FTS	20121003	56204.237	1.613	Pan-Starrs-Z	  z  21.5732  rz -0.0573 | 0.999  0.0
     FTS	20121001	56202.224	1.821	      SDSS-G	  g  22.3281  gr 0.15390 | 0.986  0.0
     FTS	20121001	56202.225	1.804	      SDSS-R	  r  22.8223  gr 0.00824 | 0.994  0.0
     FTS	20121001	56202.225	1.804	      SDSS-R	  r  22.8239  ri 0.01692 | 0.985  0.0
     FTS	20121001	56202.227	1.789	      SDSS-I	  i  22.5996  ri 0.00228 | 0.003  0.0
     FTS	20121001	56202.227	1.789	      SDSS-I	  i  22.5995  iz 0.01189 | 0.029  0.0
     FTS	20121001	56202.228	1.774	Pan-Starrs-Z	  z  21.5871  iz -0.1610 | 0.964  0.0
     FTS	20121001	56202.228	1.774	Pan-Starrs-Z	  z  21.5900  rz -0.0593 | 0.986  0.0
     FTS	20121014	56215.205	1.629	      SDSS-G	  g  22.3131  gr 0.14131 | 0.999  0.0
     FTS	20121014	56215.206	1.616	      SDSS-R	  r  22.8092  gr 0.00089 | 0.019  0.0
     FTS	20121014	56215.206	1.616	      SDSS-R	  r  22.8093  ri 0.00240 | 0.033  0.0
     FTS	20121014	56215.208	1.605	      SDSS-I	  i  22.5603  ri -0.0140 | 0.798  0.0
     FTS	20121014	56215.208	1.605	      SDSS-I	  i  22.5596  iz -0.0258 | 0.882  0.0
     FTS	20121014	56215.209	1.594	Pan-Starrs-Z	  z  21.5435  iz -0.1689 | 0.999  0.0
     FTS	20121014	56215.209	1.594	Pan-Starrs-Z	  z  21.5465  rz -0.0614 | 0.996  0.0
     FTS	20120112	55939.246	2.181	   Bessell-I	  I  22.3847  RI 0.00751 | 0.007  0.0
     FTS	20120112	55939.246	2.181	   Bessell-I	  I  22.3846  VI 0.00388 | 0.008  0.0
     FTS	20120112	55939.242	2.097	   Bessell-B	  B  21.9335  BV 0.25283 | 0.890  0.0
     FTS	20120102	55929.991	1.585	   Bessell-V	  V  21.5490  BV -0.0489 | 0.497  0.0
     FTS	20120102	55929.991	1.585	   Bessell-V	  V  21.5530  VR -0.0993 | 0.552  0.0
     FTS	20120112	55939.244	2.128	   Bessell-V	  V  22.1644  BV -0.0335 | 0.304  0.0
     FTS	20120112	55939.244	2.128	   Bessell-V	  V  22.1663  VR -0.0643 | 0.301  0.0
     FTS	20120102	55929.992	1.572	   Bessell-R	  R  21.9126  VR -0.0507 | 0.127  0.0
     FTS	20120102	55929.992	1.572	   Bessell-R	  R  21.9121  RI -0.0512 | 0.116  0.0
     FTS	20120102	55929.993	1.562	   Bessell-I	  I  21.7198  RI -0.0121 | 0.006  0.0
     FTS	20120102	55929.993	1.562	   Bessell-I	  I  21.7200  VI -0.0063 | 0.007  0.0
     FTS	20120112	55939.245	2.157	   Bessell-R	  R  22.6649  VR -0.0167 | 0.042  0.0
     FTS	20120112	55939.245	2.157	   Bessell-R	  R  22.6651  RI -0.0183 | 0.045  0.0
     FTS	20111203	55899.227	1.187	   Bessell-B	  B  19.4707  BV 0.20083 | 0.688  0.0
     FTS	20120119	55946.184	1.570	   Bessell-B	  B  21.7086  BV 0.22089 | 0.987  0.0
     FTS	20111203	55899.229	1.189	   Bessell-V	  V  20.1806  BV -0.0524 | 0.269  0.0
     FTS	20111203	55899.229	1.189	   Bessell-V	  V  20.1854  VR -0.1085 | 0.311  0.0
     FTS	20111203	55899.230	1.192	   Bessell-R	  R  19.6219  VR 0.00902 | 0.000  0.0
     FTS	20111203	55899.230	1.192	   Bessell-R	  R  19.6222  RI 0.00825 | 0.000  0.0
     FTS	20120102	55929.989	1.599	   Bessell-B	  B  21.4692  BV 0.22836 | 0.978  0.0
     FTS	20120119	55946.185	1.584	   Bessell-V	  V  21.8934  BV -0.0195 | 0.397  0.0
     FTS	20120119	55946.185	1.584	   Bessell-V	  V  21.8938  VR -0.0347 | 0.337  0.0
     FTS	20120119	55946.187	1.597	   Bessell-R	  R  22.5248  VR -0.0128 | 0.038  0.0
     FTS	20120119	55946.187	1.597	   Bessell-R	  R  22.5244  RI -0.0115 | 0.028  0.0
     FTS	20120119	55946.188	1.608	   Bessell-I	  I  22.1454  RI 0.04256 | 0.461  0.0
     FTS	20120119	55946.188	1.608	   Bessell-I	  I  22.1453  VI 0.02088 | 0.467  0.0
     FTS	20111231	55927.978	1.788	   Bessell-B	  B  21.8676  BV 0.24029 | 0.975  0.0
     FTS	20111231	55927.979	1.767	   Bessell-V	  V  22.1125  BV -0.0407 | 0.592  0.0
     FTS	20111231	55927.979	1.767	   Bessell-V	  V  22.1151  VR -0.0795 | 0.606  0.0
     FTS	20111231	55927.981	1.749	   Bessell-R	  R  22.6254  VR -0.0376 | 0.102  0.0
     FTS	20111231	55927.981	1.749	   Bessell-R	  R  22.6251  RI -0.0383 | 0.095  0.0
     FTS	20111231	55927.982	1.734	   Bessell-I	  I  22.3590  RI -0.0031 | 0.000  0.0
     FTS	20111231	55927.982	1.734	   Bessell-I	  I  22.3590  VI -0.0013 | 0.000  0.0
     FTS	20111225	55921.171	1.193	   Bessell-B	  B  21.8308  BV 0.20584 | 0.982  0.0
     FTS	20111225	55921.172	1.196	   Bessell-V	  V  22.0756  BV -0.0320 | 0.585  0.0
     FTS	20111225	55921.172	1.196	   Bessell-V	  V  22.0773  VR -0.0611 | 0.573  0.0
     FTS	20111225	55921.174	1.198	   Bessell-R	  R  22.5956  VR -0.0294 | 0.083  0.0
     FTS	20111225	55921.174	1.198	   Bessell-R	  R  22.5957  RI -0.0316 | 0.086  0.0
     FTS	20111225	55921.175	1.200	   Bessell-I	  I  22.3285  RI -0.0031 | 0.000  0.0
     FTS	20111225	55921.175	1.200	   Bessell-I	  I  22.3284  VI -0.0014 | 0.000  0.0
     FTS	20111202	55898.210	1.166	   Bessell-B	  B  21.7949  BV 0.19473 | 0.986  0.0
     FTS	20111202	55898.212	1.167	   Bessell-V	  V  22.0216  BV -0.0281 | 0.493  0.0
     FTS	20111202	55898.212	1.167	   Bessell-V	  V  22.0229  VR -0.0530 | 0.473  0.0
     FTS	20111202	55898.213	1.170	   Bessell-R	  R  22.5810  VR -0.0160 | 0.033  0.0
     FTS	20111202	55898.213	1.170	   Bessell-R	  R  22.5805  RI -0.0144 | 0.024  0.0
     FTS	20111202	55898.214	1.169	   Bessell-I	  I  22.3613  RI 0.02084 | 0.040  0.0
     FTS	20111202	55898.214	1.169	   Bessell-I	  I  22.3616  VI 0.00951 | 0.035  0.0
     FTS	20120119	55946.177	1.512	      SDSS-R	  r  22.8904  gr 0.00931 | 0.697  0.0
     FTS	20120119	55946.177	1.512	      SDSS-R	  r  22.8922  ri 0.01864 | 0.656  0.0
     FTS	20111203	55899.220	1.177	      SDSS-R	  r  22.9746  gr -0.0035 | 0.186  0.0
     FTS	20111203	55899.220	1.177	      SDSS-R	  r  22.9739  ri -0.0066 | 0.153  0.0
     FTS	20111203	55899.222	1.180	Pan-Starrs-Z	  z  21.4241  iz -0.1724 | 0.999  0.0
     FTS	20111203	55899.222	1.180	Pan-Starrs-Z	  z  21.4271  rz -0.0627 | 0.997  0.0
     FTS	20120119	55946.178	1.521	      SDSS-I	  i  22.6097  ri -0.0193 | 0.998  0.0
     FTS	20120119	55946.178	1.521	      SDSS-I	  i  22.6087  iz -0.0334 | 0.975  0.0
     FTS	20111203	55899.221	1.179	      SDSS-I	  i  22.6676  ri -0.0148 | 0.966  0.0
     FTS	20111203	55899.221	1.179	      SDSS-I	  i  22.6668  iz -0.0263 | 0.995  0.0
     FTS	20111203	55899.219	1.176	      SDSS-G	  g  22.5233  gr 0.11263 | 0.991  0.0
     FTS	20120119	55946.179	1.531	Pan-Starrs-Z	  z  21.5983  iz -0.1647 | 0.995  0.0
     FTS	20120119	55946.179	1.531	Pan-Starrs-Z	  z  21.6012  rz -0.0596 | 0.979  0.0
     FTS	20120119	55946.176	1.503	      SDSS-G	  g  22.3967  gr 0.13497 | 0.996  0.0
     FTS	20111231	55927.986	1.682	      SDSS-G	  g  22.5301  gr 0.14357 | 0.999  0.0
     FTS	20111231	55927.988	1.669	      SDSS-R	  r  22.9777  gr -0.0036 | 0.980  0.0
     FTS	20111231	55927.988	1.669	      SDSS-R	  r  22.9770  ri -0.0074 | 0.966  0.0
     FTS	20111231	55927.989	1.656	      SDSS-I	  i  22.6692  ri -0.0209 | 0.537  0.0
     FTS	20111231	55927.989	1.656	      SDSS-I	  i  22.6681  iz -0.0324 | 0.422  0.0
     FTS	20111231	55927.990	1.644	Pan-Starrs-Z	  z  21.6557  iz -0.2127 | 0.996  0.0
     FTS	20111231	55927.990	1.644	Pan-Starrs-Z	  z  21.6595  rz -0.0776 | 0.999  0.0
     FTS	20111226	55922.189	1.241	      SDSS-G	  g  22.4381  gr 0.11289 | 0.996  0.0
     FTS	20111226	55922.190	1.244	      SDSS-R	  r  22.9229  gr -0.0023 | 0.379  0.0
     FTS	20111226	55922.190	1.244	      SDSS-R	  r  22.9224  ri -0.0045 | 0.337  0.0
     FTS	20111226	55922.191	1.248	      SDSS-I	  i  22.6444  ri -0.0185 | 0.889  0.0
     FTS	20111226	55922.191	1.248	      SDSS-I	  i  22.6435  iz -0.0308 | 0.806  0.0
     FTS	20111226	55922.192	1.252	Pan-Starrs-Z	  z  21.6290  iz -0.1869 | 0.986  0.0
     FTS	20111226	55922.192	1.252	Pan-Starrs-Z	  z  21.6323  rz -0.0685 | 0.998  0.0
     FTS	20120902	56173.057	1.178	      SDSS-G	  g  22.5876  gr -0.1471 | 0.017  0.0
     FTS	20120902	56173.061	1.169	      SDSS-R	  r  22.7485  gr 0.17884 | 0.072  0.0
     FTS	20120902	56173.061	1.169	      SDSS-R	  r  22.7750  ri 0.40572 | 0.124  0.0
     FTS	20120903	56174.073	1.140	      SDSS-I	  i  22.6656  ri -0.0090 | 0.001  0.0
     FTS	20120903	56174.073	1.140	      SDSS-I	  i  22.6603  iz 0.02774 | 0.011  0.0
     FTS	20120903	56174.075	1.137	      SDSS-G	  g  22.3645  gr 0.29014 | 0.375  0.0
     FTS	20120903	56174.079	1.131	      SDSS-R	  r  22.8706  gr 0.09431 | 0.217  0.0
     FTS	20120903	56174.079	1.131	      SDSS-R	  r  22.9024  ri 0.12557 | 0.243  0.0
     FTS	20120906	56177.050	1.168	      SDSS-I	  i  22.6581  ri -0.3044 | 0.257  0.0
     FTS	20120906	56177.050	1.168	      SDSS-I	  i  22.5125  iz 0.55244 | 0.622  0.0
     FTS	20120906	56177.054	1.159	      SDSS-G	  g  22.3661  gr 0.25599 | 0.570  0.0
     FTS	20120906	56177.058	1.151	      SDSS-R	  r  22.8081  gr 0.07323 | 0.234  0.0
     FTS	20120906	56177.058	1.151	      SDSS-R	  r  22.8246  ri 0.12323 | 0.419  0.0
     FTS	20120912	56183.117	1.136	      SDSS-I	  i  22.5760  ri 0.00022 | 2.006  0.0
     FTS	20120912	56183.117	1.136	      SDSS-I	  i  22.5786  iz -0.0296 | 0.026  0.0
     FTS	20120912	56183.121	1.142	      SDSS-G	  g  22.2586  gr 0.30111 | 0.691  0.0
     FTS	20120912	56183.125	1.149	      SDSS-R	  r  22.7845  gr 0.06576 | 0.165  0.0
     FTS	20120912	56183.125	1.149	      SDSS-R	  r  22.8044  ri 0.09473 | 0.216  0.0
     FTS	20120921	56192.016	1.153	      SDSS-I	  i  22.9104  ri -0.1632 | 0.009  0.0
     FTS	20120921	56192.016	1.153	      SDSS-I	  i  22.8791  iz -0.1917 | 0.006  0.0
     FTS	20120921	56192.020	1.146	      SDSS-G	  g  22.8054  gr 0.04307 | 0.000  0.0
     FTS	20120921	56192.024	1.139	      SDSS-R	  r  23.3010  gr -0.2513 | 0.029  0.0
     FTS	20120921	56192.024	1.139	      SDSS-R	  r  23.1875  ri -0.2406 | 0.016  0.0
     FTS	20120922	56193.016	1.149	      SDSS-I	  i  22.6404  ri -0.1279 | 0.267  0.0
     FTS	20120922	56193.016	1.149	      SDSS-I	  i  22.5851  iz 0.16425 | 0.324  0.0
     FTS	20120922	56193.054	1.113	      SDSS-G	  g  22.3589  gr 0.27170 | 0.558  0.0
     FTS	20120922	56193.058	1.113	      SDSS-R	  r  22.8276  gr 0.07019 | 0.277  0.0
     FTS	20120922	56193.058	1.113	      SDSS-R	  r  22.8470  ri 0.10467 | 0.382  0.0
     FTS	20120923	56194.043	1.116	      SDSS-R	  r  22.7873  gr 0.06745 | 0.266  0.0
     FTS	20120923	56194.043	1.116	      SDSS-R	  r  22.8035  ri 0.10768 | 0.421  0.0
     FTS	20120923	56194.047	1.114	      SDSS-G	  g  22.3269  gr 0.24761 | 0.525  0.0
     FTS	20120923	56194.052	1.113	      SDSS-I	  i  22.6132  ri -0.1430 | 0.321  0.0
     FTS	20120923	56194.052	1.113	      SDSS-I	  i  22.5405  iz 0.21478 | 0.397  0.0
     FTS	20120925	56196.079	1.133	      SDSS-I	  i  22.6076  ri -0.0058 | 0.001  0.0
     FTS	20120925	56196.079	1.133	      SDSS-I	  i  22.6084  iz -0.0306 | 0.034  0.0
     FTS	20120925	56196.083	1.138	      SDSS-G	  g  22.2990  gr 0.37525 | 0.602  0.0
     FTS	20120925	56196.087	1.145	      SDSS-R	  r  22.8157  gr 0.05917 | 0.157  0.0
     FTS	20120925	56196.087	1.145	      SDSS-R	  r  22.8332  ri 0.08622 | 0.210  0.0
     FTS	20120930	56201.011	1.125	      SDSS-R	  r  23.1109  gr -0.3231 | 0.131  0.0
     FTS	20120930	56201.011	1.125	      SDSS-R	  r  22.9805  ri -0.4102 | 0.093  0.0
     FTS	20120930	56201.015	1.121	      SDSS-G	  g  22.4767  gr 0.40571 | 0.118  0.0
     FTS	20120930	56201.019	1.118	      SDSS-I	  i  22.6252  ri -0.3700 | 0.043  0.0
     FTS	20120930	56201.019	1.118	      SDSS-I	  i  22.5012  iz 0.06534 | 0.000  0.0
     FTS	20120902	56173.052	1.189	      SDSS-I	  i  22.8146  ri -0.8816 | 0.512  0.0
     FTS	20120902	56173.052	1.189	      SDSS-I	  i  22.4788  iz 0.61829 | 0.185  0.0
     FTS	2012-11-06	56237.419	1.011	           r	  r  23.2041  ri 0.02487 | 0.014  0.0
     FTS	2012-11-06	56237.419	1.011	           r	  r  23.1763  gr 0.04339 | 0.030  0.0
